athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,17,631,Grêmio Prudente,3,172,3,28,0,0,0,9,4,5,44.4,7,66,34,100,7,2,9,7,1,18,15,3,1,6,10,2,0,1,3,2,1,165,55,220,75,990,2,1,,0,0,0,1,0
0,,17,6,Corinthians,3,330,3,39,5,0,5,14,2,12,14.3,2,88,38,126,16,0,16,4,1,19,16,6,0,10,16,2,0,1,8,3,5,323,56,379,85.2,990,4,3,,0,0,1,0,0
0,,17,21,Vitória,2,201,2,46,3,0,3,29,6,23,20.7,4,83,50,133,15,3,18,1,4,16,19,3,1,4,8,1,0,5,9,2,7,189,42,231,81.8,990,3,2,,0,0,0,0,1
0,,17,14,Guarani,2,164,4,38,1,0,1,22,4,18,18.2,3,80,22,102,13,6,19,4,7,17,15,4,0,10,14,2,0,1,8,5,3,151,46,197,76.6,990,3,4,,0,0,1,0,0
0,,17,1,Flamengo,3,293,4,33,3,0,3,17,4,13,23.5,2,77,30,107,16,0,16,7,4,15,17,4,0,6,10,1,0,0,3,2,1,284,47,331,85.8,990,4,3,,0,0,0,0,1
0,,17,4,Atlético-MG,4,318,5,58,2,0,2,26,6,20,23.1,6,92,22,114,10,7,17,6,7,12,22,3,1,5,9,1,0,1,7,2,5,307,45,352,87.2,990,1,3,,0,0,0,0,1
0,,17,17,Palmeiras,3,223,1,33,1,0,1,10,3,7,30,1,91,39,130,18,3,21,7,6,22,12,9,0,6,15,2,0,6,4,1,3,217,52,269,80.7,990,0,2,,0,0,1,0,0
0,,17,22,Santos,2,282,5,49,3,0,3,34,5,29,14.7,5,94,44,138,28,6,34,11,12,19,9,11,0,3,14,2,0,1,4,1,3,277,56,333,83.2,990,6,1,,0,0,1,0,0
0,,17,12,Goiás,5,160,2,35,5,0,5,26,8,18,30.8,9,85,57,142,5,0,5,12,11,9,19,5,0,13,18,0,0,1,2,1,1,149,58,207,72,992,0,4,,0,0,0,0,1
0,,17,11,Fluminense,7,298,4,32,1,0,1,29,12,17,41.4,6,88,20,108,12,2,14,3,9,18,14,7,0,8,15,2,0,3,2,1,1,283,69,352,80.4,990,9,4,,0,0,0,1,0
0,,17,24,São Paulo,4,232,3,32,2,0,2,13,5,8,38.5,5,77,36,113,22,1,23,9,3,14,18,10,0,7,17,2,0,0,1,0,1,217,46,263,82.5,990,3,10,,0,0,0,1,0
0,,17,1094,Atlético-GO,3,225,3,41,3,0,3,20,5,15,25,2,69,38,107,19,3,22,4,3,13,19,6,0,10,16,2,0,0,4,1,3,217,48,265,81.9,990,3,1,,0,0,0,1,0
0,,17,29,Avaí,1,281,3,52,3,0,3,18,4,14,22.2,4,81,51,132,16,6,22,3,4,19,13,4,0,5,9,2,0,1,3,3,0,270,43,313,86.3,990,5,5,,0,0,0,1,0
0,,17,3,Atlético-PR,2,182,4,44,3,0,3,22,5,17,22.7,2,77,37,114,10,2,12,7,5,23,17,5,0,8,13,1,0,1,1,0,1,175,53,228,76.8,991,2,2,,0,0,0,1,0
0,,17,13,Grêmio,1,216,2,28,3,0,3,19,4,15,21.1,4,63,35,98,7,1,8,5,7,17,23,3,1,5,9,1,0,2,2,2,0,208,42,250,83.2,990,4,3,,0,0,0,1,0
0,,18,21,Vitória,2,216,2,38,3,0,3,42,3,39,7.1,4,97,33,130,19,3,22,4,7,19,11,2,0,10,12,0,0,2,4,2,2,203,53,256,79.3,990,4,7,,0,0,0,1,0
0,,18,15,Internacional,3,214,5,50,2,0,2,10,3,7,30,2,75,54,129,20,5,25,7,4,11,19,4,0,6,10,0,0,3,6,4,2,206,52,258,79.8,990,1,1,,0,0,0,1,0
0,,18,13,Grêmio,5,316,3,50,3,0,3,21,7,14,33.3,2,90,53,143,17,5,22,9,5,14,18,3,1,13,17,1,0,5,8,4,4,300,56,356,84.3,990,5,5,,0,0,1,0,0
0,,18,14,Guarani,2,212,3,46,4,0,4,26,7,19,26.9,2,95,51,146,21,3,24,5,9,18,14,2,1,10,13,0,0,1,5,3,2,201,70,271,74.2,990,7,0,,0,0,0,0,1
0,,18,631,Grêmio Prudente,4,291,5,24,0,0,0,16,3,13,18.8,1,80,41,121,5,4,9,6,7,12,16,7,0,11,18,0,0,0,6,1,5,285,71,356,80.1,990,1,3,,0,0,0,0,1
0,,18,5,Botafogo,4,261,3,32,1,0,1,28,8,20,28.6,7,82,33,115,8,1,9,7,6,16,12,2,0,9,11,1,0,5,8,3,5,250,70,320,78.1,990,6,2,,0,0,1,0,0
0,,18,12,Goiás,0,243,1,30,5,0,5,18,3,15,16.7,2,52,17,69,4,0,4,1,9,13,13,2,1,12,15,1,0,2,0,0,0,245,39,284,86.3,990,3,3,,0,0,0,0,1
0,,18,4,Atlético-MG,2,154,5,21,3,0,3,8,1,7,12.5,0,46,38,84,6,0,6,9,1,13,13,5,1,5,11,3,0,4,6,4,2,147,52,199,73.9,990,1,2,,0,0,1,0,0
