athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,1,4,Atlético-MG,4,280,3,28,1,0,1,20,8,12,40,2,78,26,104,6,2,8,4,10,13,18,7,0,9,16,3,0,2,4,3,1,264,55,319,82.8,990,2,5,,0,0,1,0,0
0,,1,3,Atlético-PR,3,289,4,38,1,0,1,26,6,20,23.1,4,73,35,108,8,0,8,10,4,18,13,3,0,6,9,0,0,3,4,1,3,279,54,333,83.8,990,2,3,,0,0,0,0,1
0,,1,33,Ceará,2,236,7,27,1,0,1,25,5,20,20,3,63,43,106,14,2,16,7,7,15,13,7,0,8,15,1,0,6,2,1,1,230,47,277,83,990,1,1,,0,0,0,0,1
0,,1,25,Vasco,2,160,4,26,2,0,2,24,1,23,4.2,6,71,34,105,7,3,10,7,7,13,15,6,1,8,15,3,0,1,2,0,2,158,55,213,74.2,990,4,2,,0,0,1,0,0
0,,1,1,Flamengo,3,348,1,43,1,0,1,13,2,11,15.4,1,77,27,104,12,4,16,4,5,15,11,8,0,14,22,4,0,0,0,0,0,346,54,400,86.5,990,6,0,,0,0,1,0,0
0,,1,29,Avaí,0,221,0,37,1,0,1,12,5,7,41.7,4,86,29,115,8,1,9,5,4,11,15,1,0,10,11,0,0,5,5,3,2,216,63,279,77.4,990,0,1,,0,0,0,0,1
0,,1,22,Santos,0,252,3,58,2,0,2,14,0,14,0,2,76,35,111,15,3,18,5,2,20,16,1,0,2,3,1,0,1,2,1,1,249,48,297,83.8,990,5,2,,0,0,0,1,0
0,,1,15,Internacional,2,342,2,44,2,0,2,16,4,12,25,0,84,47,131,7,3,10,2,5,16,20,3,0,6,9,1,0,1,2,1,1,335,61,396,84.6,990,0,2,,0,0,0,1,0
0,,1,17,Palmeiras,2,208,6,28,2,0,2,16,3,13,18.8,1,60,22,82,9,3,12,4,7,26,21,9,1,8,18,1,0,5,2,0,2,203,25,228,89,992,1,2,,0,0,1,0,0
0,,1,5,Botafogo,0,193,2,30,2,0,2,14,0,14,0,8,60,29,89,7,4,11,7,4,21,26,2,1,2,5,0,0,3,1,1,0,186,45,231,80.5,990,0,6,,0,0,0,0,1
