athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,1,5,Botafogo,3,253,5,23,0,0,0,30,7,23,23.3,3,69,24,98,5,1,6,2,5,21,12,8,0,10,18,4,0,1,0,0,0,242,47,289,83.7,990,1,4,,0,0,1,0,0
0,,1,24,São Paulo,5,193,2,34,2,0,2,9,5,4,55.6,4,83,36,121,10,3,13,5,2,12,21,5,0,11,16,2,0,2,1,0,1,185,49,234,79.1,990,1,4,,0,0,0,0,1
0,,1,25,Vasco,2,205,1,33,1,0,1,23,3,20,13,3,85,39,125,10,1,11,4,3,15,11,4,0,9,13,2,0,1,1,1,0,197,43,240,82.1,990,5,6,,0,0,1,0,0
0,,1,13,Grêmio,6,291,4,32,2,0,2,22,5,17,22.7,2,90,30,124,8,1,9,3,4,11,15,4,0,11,15,1,0,5,1,0,1,281,65,346,81.2,990,3,8,,0,0,0,0,1
0,,1,17,Palmeiras,0,296,2,45,1,0,1,17,7,10,41.2,5,81,56,139,10,5,15,12,9,19,21,11,1,10,22,1,0,0,2,0,2,287,54,341,84.2,990,1,2,,0,0,0,1,0
0,,1,71,Portuguesa,8,267,0,46,3,0,3,26,6,20,23.1,10,98,53,151,15,0,15,9,12,21,19,6,0,12,18,1,0,2,9,5,4,253,56,309,81.9,990,2,3,,0,0,0,1,0
0,,1,6,Corinthians,3,286,6,34,2,0,2,21,4,17,19,4,68,32,106,10,1,11,3,5,29,22,2,1,9,12,0,0,1,2,1,1,283,51,334,84.7,990,3,2,,0,0,0,0,1
0,,1,11,Fluminense,3,143,1,26,2,0,2,11,1,10,9.1,2,73,33,107,3,0,3,5,3,22,29,5,0,4,9,1,0,1,2,1,1,141,57,198,71.2,990,0,3,,0,0,1,0,0
0,,1,15,Internacional,6,338,2,42,4,0,4,22,6,16,27.3,2,95,37,134,12,5,17,4,6,15,16,5,1,12,18,2,0,4,5,2,3,323,47,370,87.3,990,7,6,,0,0,1,0,0
0,,1,7,Coritiba,2,303,0,38,3,0,3,14,3,11,21.4,3,76,40,116,11,2,13,6,4,16,15,2,0,4,6,0,0,2,3,1,2,297,63,360,82.5,990,1,6,,0,0,0,0,1
